ac,锕,5
ag,银,5
al,铝,5
am,镅,5
ar,氩,5
as,砷,5
at,砹,5
au,金,5
b,硼,5
be,铍,5
bf,644,3
bf,B—F,3
bk,锫,5
br,溴,5
brbr,193,3
brbr,Br—Br,3
c,碳,5
cb,393,3
cb,C—B,3
cbr,276,3
cbr,C—Br,3
cc,332,3
cc,611,3
cc,837,3
cc,C—C,3
cc,C≡C,3
ccl,328,3
ccl,C—Cl,3
cd,镉,5
cf,485,3
cf,C—F,3
cf,锎,5
ch,414,3
ch,C—H,3
cl,氯,5
clcl,243,3
clcl,Cl—Cl,3
cm,锔,5
cn,305,3
cn,615,3
cn,891,3
cn,C—N,3
cn,C≡N,3
cn,C═N,3
co,326,3
co,728,3
co,803,3
co,C—O,3
co,C═O,3
co,C═O(CO₂),3
co,钴,5
cp,305,3
cp,C—P,3
cr,铬,5
cs,272,3
cs,536,3
cs,577,3
cs,C—S,3
cs,C═S,3
cs,C═S(CS₂),3
cs,铯,5
csi,337,3
csi,347,3
csi,Cs—I,3
csi,C—Si,3
dy,镝,5
eu,铕,5
f,氟,5
fe,铁,5
ff,153,3
ff,F—F,3
fm,镄,5
fr,钫,5
gd,钆,5
h,氢,5
hbr,366,3
hbr,H—Br,3
hcl,431,3
hcl,H—Cl,3
hf,565,3
hf,H—F,3
hf,铪,5
hg,汞,5
hh,436,3
hh,H—H,3
hi,298,3
hi,H—I,3
ho,钬,5
i,碘,5
ii,151,3
ii,I—I,3
in,铟,5
ir,铱,5
k,钾,5
kbr,380,3
kbr,K—Br,3
kcl,433,3
kcl,K—Cl,3
kf,498,3
kf,K—F,3
ki,325,3
ki,K—I,3
kr,氪,5
licl,469,3
licl,Li—Cl,3
lih,238,3
lih,Li—H,3
lii,345,3
lii,Li—I,3
lr,铹,5
mc,镆,5
md,钔,5
mg,镁,5
mn,锰,5
n,氮,5
nabr,367,3
nabr,Na—Br,3
nacl,412,3
nacl,Na—Cl,3
naf,519,3
naf,Na—F,3
nah,186,3
nah,Na—H,3
nb,铌,5
nd,钕,5
nh,389,3
nh,N—H,3
nn,456,3
nn,946,3
nn,N≡N,3
nn,N═N,3
no,230,3
no,607,3
no,N—O,3
no,N═O,3
no,锘,5
np,镎,5
oh,464,3
oh,O—H,3
os,锇,5
p,磷,5
pb,铅,5
pbo,382,3
pbo,Pb—O,3
pbr,272,3
pbr,P—Br,3
pbs,346,3
pbs,Pb—S,3
pcl,331,3
pcl,P—Cl,3
pd,钯,5
ph,322,3
ph,P—H,3
ph,㏗,2
pm,钷,5
pp,213,3
pp,P—P,3
pr,镨,5
pt,铂,5
ra,镭,5
rb,铷,5
rbbr,381,3
rbbr,Rb—Br,3
rbcl,428,3
rbcl,Rb—Cl,3
rbf,494,3
rbf,Rb—F,3
rbi,319,3
rbi,Rb—I,3
rh,铑,5
rn,氡,5
s,硫,5
sb,锑,5
sc,钪,5
seh,314,3
seh,Se—H,3
sh,339,3
sh,S—H,3
sif,552,3
sif,Si—F,3
sih,377,3
