# 化学式/元素 自定义词库(由 chemical(7) 微软全拼 v7 转换, 格式: 词	q'y	权重)
# 用法: 打术语全拼出化学式(如 an'gen->NH₄⁺); 打元素符号或拼音出元素名(ac/锕->锕)
6d¹7s²	a	100
Ac	a	100
锕	a	100
6.02214076×10²³ mol⁻¹	a'fu'jia'de'luo'chang'shu	100
锕	ac	100
银	ag	100
5f¹¹7s²	ai	100
6s²6p⁵	ai	100
At	ai	100
At₂	ai	100
Es	ai	100
砹	ai	100
铝	al	100
镅	am	100
NH₃	an	100
—NH₂	an'ji	100
NH₂CHRCOOH	an'ji'suan	100
㎀	an'pei	100
㎁	an'pei	100
㎂	an'pei	100
㎃	an'pei	100
㎄	an'pei	100
NH₄⁺	ang'en	100
NH₄⁺	ang'en'li'zi	100
Og	ao	100
氩	ar	100
砷	as	100
砹	at	100
金	au	100
硼	b	100
4d¹⁰	ba	100
Pd	ba	100
钡	ba	100
钯	ba	100
KAl(SO₄)₂·12H₂O	bai'fan	100
P₄	bai'lin	100
As₂O₃	bai'pi	100
铍	be	100
6s²	bei	100
Ba	bei	100
钡	bei	100
Ba²⁺	bei'li'zi	100
C₆H₆	ben	100
⌬	ben	100
⏣	ben	100
C₆H₇N	ben'an	100
C₆H₈ClN	ben'an'yan'suan'yan	100
CₙH₂ₙ₋₆	ben'de'tong'xi'wu	100
C₆H₅OH	ben'fen	100
C₆H₆O	ben'fen	100
CₙH₂ₙ₋₇OH	ben'fen'de'tong'xi'wu	100
C₆H₅ONa	ben'fen'na	100
C₆H₆O₃S	ben'huang'suan	100
—Ph	ben'ji	100
C₇H₈O	ben'jia'chun	100
C₇H₆O	ben'jia'quan	100
C₇H₆O₂	ben'jia'suan	100
C₇H₇NO	ben'jia'xia'nan	100
—COPh	ben'jia'xian'ji	100
—OCOPh	ben'jia'xian'yang'ji	100
CH₃CH₂CHO	ben'quan	100
C₃H₆O	ben'quan	100
—OPh	ben'yang'ji	100
C₈H₁₁N	ben'yi'an	100
C₈H₁₀O	ben'yi'chun	100
C₈H₈O	ben'yi'quan	100
C₈H₆	ben'yi'que	100
C₈H₈O₂	ben'yi'suan	100
C₈H₈	ben'yi'xi	100
644	bf	100
B—F	bf	100
6s²6p³	bi	100
Bi	bi	100
铋	bi	100
—Bz	bian'ji	100
—CH₂Ph	bian'ji	100
—NHCOOCH₂Ph	bian'yang'tang'jian'ji	100
C₉H₁₂	bing'ben	100
CH₃CH₂CH₂OH	bing'chun	100
C₃H₈O	bing'chun	100
—C₃H₇	bing'ji	100
—Pr	bing'ji	100
CH₃H≡CH	bing'que	100
C₃H₄	bing'que	100
C₃H₈O₃	bing'san'chun	100
CH₃CH₂COOH	bing'suan	100
C₃H₆O₂	bing'suan	100
CH₃COCH₃	bing'tong	100
C₃H₄O₃	bing'tong'suan	100
CH₃CH₂CH₃	bing'wan	100
C₃H₈	bing'wan	100
CH₃CH=CH₂	bing'xi	100
C₃H₆	bing'xi	100
—CH=CH—CH₃	bing'xi'ji	100
CH₂=CHCOOH	bing'xi'suan	100
C₃H₄O₂	bing'xi'suan	100
锫	bk	100
515	bo	100
5d⁹6s¹	bo	100
Bh	bo	100
B—O	bo	100
Pt	bo	100
铂	bo	100
CH₃	bo'tan	100
溴	br	100
193	brbr	100
Br—Br	brbr	100
5f⁶7s²	bu	100
Pu	bu	100
钚	bu	100
碳	c	100
钙	ca	100
K₂CO₃	cao'jian	100
K₂CO₃	cao'mu'hui	100
COOH—COOH	cao'suan	100
H₂C₂O₄	cao'suan	100
C₂O₄²⁻	cao'suan'gen	100
393	cb	100
C—B	cb	100
276	cbr	100
C—Br	cbr	100
332	cc	100
611	cc	100
837	cc	100
C—C	cc	100
C≡C	cc	100
328	ccl	100
C—Cl	ccl	100
镉	cd	100
铈	ce	100
485	cf	100
C—F	cf	100
锎	cf	100
414	ch	100
C—H	ch	100
KO₂	chao'yang'hua'jia	100
↓	chen'dian	100
HgS	chen'sha	100
Cr₂O₇²⁻	chong'ge'suan'gen	100
K₂Cr₂O₇	chong'ge'suan'jia	100
Na₂S	chou'jian	100
O₃	chou'yang	100
KO₃	chou'yang'hua'jia	100
Na₂CO₃	chun'jian	100
240	ci	100
C—I	ci	100
As₂O₃	ci'huang	100
H₃PO₂	ci'lin'suan	100
HClO	ci'lv'suan	100
Ca(ClO)₂	ci'lv'suan'gai	100
ClO⁻	ci'lv'suan'gen	100
NaClO	ci'lv'suan'na	100
氯	cl	100
243	clcl	100
Cl—Cl	clcl	100
锔	cm	100
305	cn	100
615	cn	100
891	cn	100
C—N	cn	100
C≡N	cn	100
C═N	cn	100
326	co	100
728	co	100
803	co	100
C—O	co	100
C═O	co	100
C═O(CO₂)	co	100
钴	co	100
305	cp	100
C—P	cp	100
铬	cr	100
272	cs	100
536	cs	100
577	cs	100
C—S	cs	100
C═S	cs	100
C═S(CS₂)	cs	100
铯	cs	100
337	csi	100
347	csi	100
Cs—I	csi	100
C—Si	csi	100
铜	cu	100
CH₃COOH	cu'suan	100
CH₃COO⁻	cu'suan'gen	100
CH₃COONa	cu'suan'na	100
Ds	da	100
Na₂S₂O₃·5H₂O	da'su'da	100
2s²2p³	dan	100
N	dan	100
N₂	dan	100
氮	dan	100
CuSO₄·5H₂O	dan'fan	100
Hg₂Cl₂	dan'gong	100
­—	dan'jian	100
N₂	dan'qi	100
HgS	dan'sha	100
4d⁵5s²	de	100
Tc	de	100
锝	de	100
4f¹⁰6s²	di	100
Dy	di	100
Te	di	100
碲	di	100
镝	di	100
5s²5p⁵	dian	100
I	dian	100
I₂	dian	100
碘	dian	100
(C₆H₁₀O₅)ₙ	dian'fen	100
KI	dian'hua'jia	100
NaI	dian'hua'na	100
HI	dian'hua'qing	100
AgI	dian'hua'yin	100
—I	dian'ji	100
I⁻	dian'li'zi	100
CaC₂	dian'shi	100
HIO₃	dian'suan	100
IO₃⁻	dian'suan'gen	100
CH₃CH₂I	dian'yi'wan	100
C₂H₅I	dian'yi'wan	100
e⁻	dian'zi	100
1.602176634×10⁻¹⁹C	dian'zi'dian'he'liang	100
9.10938291×10⁻³¹kg	dian'zi'zhi'liang	100
C₄H₁₀O	ding'chun	100
C₄H₉OH	ding'chun	100
—C₄H₉	ding'ji	100
CH≡CCH₂CH₃	ding'que	100
C₄H₆	ding'que	100
CH₃CH(CH₃)CH₃	ding'wan	100
C₄H₁₀	ding'wan	100
CH₃CH=CHCH₃	ding'xi	100
CH₃CH₂CH=CH₂	ding'xi	100
C₄H₈	ding'xi	100
4f¹³6s²	diu	100
Tm	diu	100
铥	diu	100
6s²6p⁶	dong	100
Rn	dong	100
氡	dong	100
6d³7s²	du	100
Db	du	100
(C₆H₁₀O₅)ₙ	duo'tang	100
镝	dy	100
5d⁶6s²	e	100
Os	e	100
锇	e	100
Rb—I	e'bi	100
C₁₄H₁₀	en	100
4f¹²6s²	er	100
Er	er	100
铒	er	100
[Ag(NH₃)₂]⁺	er'an'he'yin'li'zi	100
—N(CH₃)₂	er'jia'an'ji	100
C₈H₁₀	er'jia'ben	100
CH₃OCH₃	er'jia'mi	100
C₂H₆O	er'jia'mi	100
CS₂	er'liu'hua'tan	100
C₆H₄Cl₂	er'lv'ben	100
CH₂Cl₂	er'lv'jia'wan	100
CₙH₂ₙ₋₂	er'xi'ting	100
CH₂BrCH₂Br	er'xiu'yi'wan	100
CHBr=CHBr	er'xiu'yi'xi	100
NO₂	er'yang'hua'dan	100
SiO₂	er'yang'hua'gui	100
SO₂	er'yang'hua'liu	100
ClO₂	er'yang'hua'lv	100
MnO₂	er'yang'hua'meng	100
PbO₂	er'yang'hua'qian	100
TiO₂	er'yang'hua'tai	100
CO₂	er'yang'hua'tan	100
—N(C₂H₅)₂	er'yi'an'ji	100
C₂H₅OC₂H₅	er'yi'mi	100
C₄H₁₀O	er'yi'mi	100
铕	eu	100
氟	f	100
㎊	fa'la	100
㎋	fa'la	100
㎌	fa'la	100
9.64853365×10⁴C/mol	fa'la'di'chang'shu	100
3d³4s²	fan	100
